Informacje podstawowe:
 Nazwa katalogu: TERC, 
 Zawartość: część, 
 Czas utworzenia: 22.04.2020 7:46:05. 

WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
14;65;;;Warszawa;miasto stołeczne, na prawach powiatu;2020-01-01
14;65;02;8;Bemowo;dzielnica;2020-01-01
14;65;03;8;Białołęka;dzielnica;2020-01-01
14;65;04;8;Bielany;dzielnica;2020-01-01
14;65;05;8;Mokotów;dzielnica;2020-01-01
14;65;06;8;Ochota;dzielnica;2020-01-01
14;65;07;8;Praga-Południe;dzielnica;2020-01-01
14;65;08;8;Praga-Północ;dzielnica;2020-01-01
14;65;09;8;Rembertów;dzielnica;2020-01-01
14;65;10;8;Śródmieście;dzielnica;2020-01-01
14;65;11;8;Targówek;dzielnica;2020-01-01
14;65;12;8;Ursus;dzielnica;2020-01-01
14;65;13;8;Ursynów;dzielnica;2020-01-01
14;65;01;1;Warszawa;gmina miejska, miasto stołeczne;2020-01-01
14;65;14;8;Wawer;dzielnica;2020-01-01
14;65;15;8;Wesoła;dzielnica;2020-01-01
14;65;16;8;Wilanów;dzielnica;2020-01-01
14;65;17;8;Włochy;dzielnica;2020-01-01
14;65;18;8;Wola;dzielnica;2020-01-01
14;65;19;8;Żoliborz;dzielnica;2020-01-01
