Informacje podstawowe:
 Nazwa katalogu: TERC, 
 Zawartość: część, 
 Czas utworzenia: 22.04.2020 7:46:05. 

WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
10;05;;;łowicki;powiat;2020-01-01
10;05;02;2;Bielawy;gmina wiejska;2020-01-01
10;05;03;2;Chąśno;gmina wiejska;2020-01-01
10;05;04;2;Domaniewice;gmina wiejska;2020-01-01
10;05;05;2;Kiernozia;gmina wiejska;2020-01-01
10;05;06;2;Kocierzew Południowy;gmina wiejska;2020-01-01
10;05;01;1;Łowicz;gmina miejska;2020-01-01
10;05;07;2;Łowicz;gmina wiejska;2020-01-01
10;05;08;2;Łyszkowice;gmina wiejska;2020-01-01
10;05;09;2;Nieborów;gmina wiejska;2020-01-01
10;05;10;2;Zduny;gmina wiejska;2020-01-01
